PropertyType,PropertySubType,closed_sales,total_sales_volume,median_close_price,average_close_price,median_price_per_sqft,average_days_on_market,average_close_to_original_list_ratio,median_listing_to_contract_days,median_contract_to_close_days
ResidentialLease,DeededParking,1,4700.0,4700.0,4700.0,1.9648829431438126,13.0,0.9791666666666666,13.0,9.0
ResidentialLease,Duplex,4510,15474370.0,2950.0,3431.1241685144123,3.1404454210921013,39.4,1.0295153398884558,30.0,0.0
ResidentialLease,Loft,40,110174.0,2750.0,2754.35,3.1925675675675675,31.15,0.9872347032681399,30.0,1.0
ResidentialLease,ManufacturedHome,18,36950.0,2100.0,2052.777777777778,1.4236111111111112,43.55555555555556,0.9631020921574586,106.5,5.0
ResidentialLease,ManufacturedOnLand,348,1375042.0,2000.0,3951.270114942529,1.8675595238095237,36.15229885057471,1.7644904278064375,29.0,0.0
ResidentialLease,MixedUse,107,2375075.0,3000.0,22196.96261682243,2.7954545454545454,66.00934579439253,6.623557401274281,48.0,0.0
ResidentialLease,MobileHome,22,40344.0,1800.0,1833.8181818181818,1.5823412698412698,38.45454545454545,0.9211685730290381,39.5,5.5
ResidentialLease,OwnYourOwn,18,81219.0,3999.5,4512.166666666667,2.3008786431802353,31.555555555555557,0.9694582684885957,32.5,0.0
ResidentialLease,Quadruplex,1308,3415734.56,2500.0,2611.4178593272172,2.758098223615465,44.095565749235476,0.9770461926039382,32.0,0.0
ResidentialLease,RoomingHouse,317,508188.0,1300.0,1603.1167192429023,2.8,43.40694006309148,1.0451808348655214,33.0,0.0
ResidentialLease,SingleFamilyResidence,59505,678184607.05,4400.0,11397.102882951012,2.663731425426527,38.97591799008487,inf,29.0,1.0
ResidentialLease,StockCooperative,385,1840405.0,2700.0,4780.272727272727,2.696310312204352,29.693506493506494,1.6421853029779812,27.0,10.0
ResidentialLease,Studio,406,756983.0,1700.0,1864.4901477832511,4.233433734939759,37.22167487684729,1.0213352552098323,29.0,0.0
ResidentialLease,Timeshare,2,8800.0,4400.0,4400.0,2.6549380417717234,5.5,1.0,7.0,5.0
ResidentialLease,Townhouse,10232,85231620.2,3895.0,8329.90815089914,2.650177579406195,34.67689601250977,1.7798824930705395,26.0,1.0
ResidentialLease,Triplex,1498,4331032.0,2650.0,2891.2096128170892,3.1472715955460266,41.72696929238985,0.9842018032736244,31.0,0.0
ResidentialLease,Unknown,2787,22707067.0,3800.0,8147.494438464299,3.3063427800269904,41.78292070326516,2.3602528625538577,26.0,1.0
