ListOfficeName,closed_sales,total_sales_volume,median_close_price,average_close_to_original_list_ratio,average_days_on_market
Golden Gate Sotheby's International Realty,643,1480111989.0,1900000.0,1.0157411033852548,27.883359253499222
HomeSmart Realty West,1205,1465889360.0,735000.0,1.9649153282342608,37.980912863070536
Vista Sothebyâs International Realty,960,1426115878.54,1225000.0,1.0002315284595253,30.325
Coldwell Banker Country Realty,56,1423881995.0,812500.0,35.42492200495443,28.535714285714285
Allison James Estates & Homes,1015,1419250991.0,660000.0,3.7797397572952107,43.98029556650246
Realty One Group West,1781,1394353008.0,635000.0,0.9957562074379549,33.886019090398655
Douglas Elliman,776,1289155402.0,1100000.0,0.9638204089954219,48.001288659793815
LPT Realty,447,1247176791.0,690000.0,3.18409828114528,38.61073825503356
Coldwell Banker,1022,1206953750.0,992500.0,0.9900643326545039,26.373776908023483
"HomeSmart, Evergreen Realty",1767,1192548894.0,580000.0,1.063460960040479,32.18562535370685
Keller Williams Tri-Valley,900,1191626532.0,1180000.0,1.0068048849239497,20.924444444444443
T.N.G. Real Estate Consultants,1287,1073448473.23,830000.0,1.0073174100567721,29.04040404040404
KW Advisors East Bay,964,1071498445.0,954000.0,2.054383708884696,29.318464730290458
Keller Williams Realty Irvine,1361,1071129673.0,10000.0,0.9914667511182579,28.289493019838353
Red Oak Realty,908,1055453585.0,1060000.0,1.1772844132485838,21.284140969162994
Pinnacle Estate Properties,1396,1052917566.0,720000.0,1.641764918703196,36.17765042979943
Keller Williams Beverly Hills,1233,1042336387.0,405000.0,0.9715344795803006,43.37712895377129
"eXp Realty of Southern California, Inc.",1183,1032228035.0,735000.0,0.9842775101452285,31.24936601859679
RE/MAX One,1215,1030231043.0,799900.0,1.9220888647825092,34.67160493827161
ROA California Inc,368,1022723433.0,737500.0,3.6824318892636283,30.442934782608695
Century 21 Affiliated,1119,1016459398.0,765000.0,1.7702156100470694,30.081322609472743
D R Horton America's Builder,1635,1000164807.0,597990.0,1.353861003834802,36.38348623853211
"eXp Realty of California, Inc",915,990138822.99,830000.0,0.9850241638003858,30.865573770491803
Cali Real Estate Professionals,4,971690000.0,585000.0,243.50186448346392,71.5
KW Bay Area Estates,549,942152354.0,1525000.0,1.0232524615667429,23.608378870673953
RE/MAX of Santa Clarita,1015,918438245.0,850000.0,0.9978227460267434,32.703448275862065
RE/MAX Accord,939,910020888.0,775000.0,1.0938202116298608,30.375931842385516
Barry Estates,187,902692935.0,4425000.0,0.9842841413288699,54.8716577540107
Re/Max Golden Empire Realty,2,900435000.0,450217500.0,29.52657624633431,134.0
Dudum Real Estate Group,719,852099348.0,990000.0,1.0103491057241036,22.567454798331017
Success Realty & Mortgage,1,820000000.0,820000000.0,1012.3456790123457,6.0
The GRUBB Company,471,815515071.0,1447000.0,1.210390695493929,19.222929936305732
Willis Allen Real Estate,546,813890014.0,1082500.0,0.9674149646148132,37.78388278388278
Deleon Realty,168,807293706.0,4090000.0,1.0564102174452201,27.13095238095238
Marcus & Millichap,325,800738081.0,1945000.0,0.9246990916897877,70.35076923076923
"Sara Lypps, Broker",1,796000000.0,796000000.0,936.5807742087304,88.0
Arbor Real Estate,351,795926244.0,1120000.0,0.9693473231876861,34.794871794871796
Corcoran Icon Properties,801,762385352.0,755000.0,1.0053003289307256,34.254681647940075
Vista Sotheby's International Realty,679,760414171.5,738000.0,2.3580823902951398,41.2179675994109
Regency Real Estate Brokers,1032,751108878.0,715000.0,0.987167229901144,28.62984496124031
Luxe Real Estate,194,747415872.0,1569444.0,0.9400130504894394,61.70103092783505
RE/MAX Gold Coast REALTORS,991,739429233.15,745000.0,1.0054689879850787,37.754793138244196
Legacy Real Estate & Assoc.,589,732949934.0,1200000.0,1.0163399844711136,21.99490662139219
Re/Max Accord,655,720247746.0,970000.0,1.0018515621567536,25.789312977099236
eXp Realty of California,771,719948936.0,800000.0,1.023727084091628,31.1621271076524
eXp Realty of Greater Los Angeles,948,711494416.0,671400.0,0.9808644374099479,38.23523206751055
"Circa Properties, Inc.",812,700662209.0,835500.0,1.0069843699039893,26.038177339901477
Pacific Sotheby's International Realty,396,700278589.0,1130000.0,0.968235441746935,41.45454545454545
RE/MAX ONE,721,698295822.0,725812.0,0.9833460834163019,52.12066574202497
JohnHart Real Estate,1507,691822503.0,155000.0,0.973692165591301,46.17916390179164
Yavorsky Properties Of Bonita,75,684442669.0,3700.0,23.881456493125242,43.24
BHHS Drysdale Properties,680,683029692.0,853500.0,0.9957047371424977,29.323529411764707
Bullock Russell RE Services,645,663963929.0,985000.0,0.9757551361964079,32.54883720930233
Opendoor Brokerage Inc.,771,663088744.0,810000.0,0.9469118195363923,85.58365758754864
Surterre Properties Inc.,440,654753350.33,502500.0,0.9613896134072695,39.3
Keller Williams Thrive,405,643997737.0,1430000.0,1.058273081008161,17.535802469135803
Keller Williams Realty-Silicon Valley,390,630815547.0,1430000.0,1.0636775301411734,21.807692307692307
David Lyng Real Estate,493,625123026.0,1100000.0,0.9738275789189345,39.454361054766736
"Perception Real Estate Group,",15,611180250.0,705000.0,66.60448958673202,26.8
Pardee Properties,535,606684599.0,770000.0,0.968802543155154,39.17943925233645
Century 21 Allstars,959,606206871.0,645000.0,1.7383777147882333,36.879040667361835
BHHS CA Properties,680,604932950.0,800000.0,1.0091629705431828,34.669117647058826
Village Associates Real Estate,333,603996665.0,1700000.0,1.0012279536675375,23.465465465465467
Carmel Realty Company,167,590683522.0,2650000.0,0.9182112854754588,73.59880239520957
HomeSmart,1333,574287636.0,418000.0,3.65053777217754,61.76219054763691
Westside Estate Agency Inc.,140,569385992.0,1065000.0,0.9329195657946672,55.99285714285714
eXp Realty of Southern CA,505,563910405.0,910000.0,0.9749403736901417,29.25940594059406
